policy,dr_incremental_value,dr_value_per_customer,ci_low,ci_high,true_incremental_value,treatment_cost,treated_customers,n_control,n_reminder,n_voucher,n_service_call
No treatment,6.39488462184e-14,2.17291356502e-17,-7.74927009344e-14,2.05390393371e-13,0,0,0,2943,0,0,0
Risk-only,326.084051916,0.110799881725,-1515.29103154,2167.45913537,1628.80060982,323.5,647,2296,647,0,0
Segment ATE,-132.926619002,-0.0451670468914,-1797.2742351,1531.4209971,2000.26467378,323.5,647,2296,647,0,0
Selected causal policy,2270.04690107,0.77133771698,392.221448607,4147.87235354,2869.50289775,1027.5,727,2216,647,56,24
Simulation oracle,2304.65034326,0.783095597437,252.158532838,4357.14215368,3331.72023057,1027.5,739,2204,647,38,54
